合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
cs1801,11:27:51.0,2070,10036,2069,16,2070,24,72556,2.07712e+008
cs1801,11:28:01.0,2070,10036,2069,16,2070,6,72556,2.07712e+008
cs1801,11:28:01.500,2070,10036,2069,18,2070,9,72556,2.07712e+008
cs1801,11:28:02.0,2070,10036,2069,16,2070,9,72556,2.07712e+008
cs1801,11:28:07.500,2070,10036,2069,16,2070,19,72556,2.07712e+008
cs1801,11:28:16.0,2070,10036,2069,11,2070,22,72556,2.07712e+008
cs1801,11:28:16.500,2070,10036,2069,11,2070,27,72556,2.07712e+008
cs1801,11:28:17.500,2069,10042,2069,8,2070,29,72556,2.07836e+008
cs1801,11:28:40.500,2069,10042,2069,8,2070,27,72556,2.07836e+008
cs1801,11:29:01.0,2069,10058,2068,57,2069,33,72540,2.08167e+008
cs1801,11:29:10.500,2068,10064,2068,54,2070,27,72536,2.08291e+008
cs1801,11:29:11.0,2068,10064,2068,54,2070,60,72536,2.08291e+008
cs1801,11:29:11.500,2068,10064,2068,54,2070,57,72536,2.08291e+008
cs1801,11:29:15.500,2068,10064,2068,54,2070,24,72536,2.08291e+008
cs1801,11:29:29.500,2068,10064,2068,49,2070,27,72536,2.08291e+008
cs1801,11:29:30.500,2068,10064,2068,54,2070,24,72536,2.08291e+008
cs1801,11:29:32.500,2068,10064,2068,54,2069,1,72536,2.08291e+008
cs1801,11:29:33.500,2068,10064,2068,54,2069,6,72536,2.08291e+008
cs1801,11:29:34.0,2068,10064,2068,54,2069,21,72536,2.08291e+008
cs1801,11:29:34.500,2068,10064,2068,54,2069,36,72536,2.08291e+008
cs1801,11:29:35.0,2068,10064,2068,49,2069,39,72536,2.08291e+008
cs1801,11:29:35.500,2068,10064,2068,54,2069,36,72536,2.08291e+008
cs1801,11:29:36.0,2068,10064,2068,49,2069,39,72536,2.08291e+008
cs1801,11:29:37.0,2068,10064,2068,54,2069,36,72536,2.08291e+008
cs1801,11:29:39.0,2068,10064,2068,54,2069,21,72536,2.08291e+008
cs1801,11:29:39.500,2068,10064,2068,54,2069,6,72536,2.08291e+008
cs1801,11:29:40.0,2068,10064,2068,54,2069,21,72536,2.08291e+008
cs1801,11:29:41.500,2068,10064,2068,54,2069,6,72536,2.08291e+008
cs1801,11:29:46.500,2069,10066,2068,54,2070,5,72538,2.08333e+008
cs1801,11:29:47.0,2069,10066,2068,67,2070,16,72538,2.08333e+008
cs1801,11:29:47.500,2069,10066,2068,67,2070,31,72538,2.08333e+008
cs1801,11:29:51.500,2069,10066,2068,69,2070,16,72538,2.08333e+008
cs1801,11:29:52.0,2069,10066,2068,69,2070,1,72538,2.08333e+008
cs1801,11:29:55.0,2069,10066,2068,64,2070,1,72538,2.08333e+008
cs1801,11:29:57.500,2069,10066,2068,66,2070,1,72538,2.08333e+008
cs1801,11:29:59.0,2069,10066,2068,51,2070,1,72538,2.08333e+008
